PAGE_TYPE,URL
checkout,https://www.chewy.com/app/checkout?utm_term%3Dhero_dog%26utm_medium%3Demail%26utm_source%3Dtriggered%26utm_campaign%3D1f5e32c1-1916-4733-be23-846e4e570097%26utm_audience%3DTrigger-ReOrder-T1-C%26mi_u%3D921467464%26mi_ecmp%3DTrigger-ReOrder-T1-C%26utm_content%3D9e075f6d-e617-4037-b4f2-1df287ea5c53%26lid%3Dknyy87pbb3od%26utm_medium%3Demail%26utm_source%3Dtriggered%26utm_campaign%3D1f5e32c1-1916-4733-be23-846e4e570097%26utm_audience%3DTrigger-ReOrder-T1-C%26mi_u%3D921467464%26mi_ecmp%3DTrigger-ReOrder-T1-C%26utm_content%3D9e075f6d-e617-4037-b4f2-1df287ea5c53
privacy,https://www.chewy.com/app/content/privacy?utm_term=footer_&utm_medium=email&utm_source=transactional&utm_campaign=fc42cdc0-8cc1-4cb1-90ab-8f2f19148580&utm_audience=TXN_PRACTICE_HUB_RX_DECLINE_EMAIL_V1&mi_u=Litmus-Test-Phoebe&mi_ecmp=TXN_PRACTICE_HUB_RX_DECLINE_EMAIL_V1&utm_content=45d6df04-b539-40f6-af87-db4352360674
accessibility-information,https://www.chewy.com/app/content/accessibility-information?ajs_aid=fb1f1869-1871-47b0-aac7-9d63480c5b12
orlena-yeung,https://www.chewy.com/app/content/orlena-yeung?utm_source=google&utm_medium=cpc&utm_campaign=18283612494&utm_content=140691789283&gad_source=1&gad_campaignid=18283612494&gbraid=0AAAAADmQ2V0E8YlQ0pyAC2tZP2GxSsW9T&gclid=Cj0KCQiAoZDJBhC0ARIsAERP-F-8HAfOhsaSSB6PakWlW_HRHO2DAr4ddHm8RzVEMLfaBmoAuUaR17UaAk6ZEALw_wcB
conditions,https://www.chewy.com/app/content/conditions
home,https://www.chewy.com/zymox-zylafen-reptile-topical-spray-2/dp/705550
our-team,https://www.chewy.com/app/content/our-team?msockid=311728517d5f62143e773af27c0d639f
zeus,https://zeus-price-ui.demm.stg.aws.chewy.cloud/signout
login-username,https://www.chewy.com/auth/realms/chewy-user/protocol/openid-connect/auth?state=oKh3n1M61JYfrAROyiklZAXnrB1fduHAdtrx9OTMVJ8&nma_version=25.43.0&response_type=code&nonce=jcyzUtUT6Pbc7mlduirl6eL3S1gkGYHdpbY97Jq05NQ&code_challenge_method=S256&scope=openid%20user%20b2b%20offline_access&nma_linker_id=7B506AF5-B893-4504-B98C-70BACD1B38AE&guest_user_id=966224163&code_challenge=y7MMTo05yPwzhwA4adINbnwOIuPZHA1LgBeztG5v51o&redirect_uri=chewy://app/auth_code&client_id=storefront-ios-app-u2s-client&pid=VTfol3nLRg2mWJ1-h8Q9Jw
pdp,https://www.chewy.com/zymox-zylafen-reptile-topical/dp/705534?utm_source=google-product&utm_medium=cpc&utm_campaign=22378224474&utm_content=&gad_source=4&gad_campaignid=22378227978&gbraid=0AAAAADmQ2V3l7sAegoYcd_SZwlkN-7cIs
satish-mehta,https://www.chewy.com/app/content/satish-mehta
education,https://www.chewy.com/zymox-topical-cream-inflammation/dp/110922
helpCenter,https://www.chewy.com/yeowww-catnip-yellow-banana-cat-toy-2/dp/130257
mp-login-otp-channel,https://www.chewy.com/auth/realms/chewy-user/login-actions/authenticate?execution=768b815e-5b2b-42c0-bcbc-afcccfb23f56&client_id=healthcare-pet-insurance-member-portal-u2s-client&tab_id=qy_zpkxuEwg
superlative_best,undefined/best/self-cleaning-litter-boxes_s112464
pet-portal,https://www.chewy.com/pet-portal?utm_term=footer_portal&utm_medium=email&utm_source=triggered&utm_campaign=7e0349e4-ecae-457e-b979-45511ffab441&utm_audience=Trigger-ABBrowse-T2-B&mi_u=970089485&mi_ecmp=Trigger-ABBrowse-T2-B&utm_content=6edea61d-0963-4787-82f3-88feb645a33b
reset-password,https://www.chewy.com/auth/realms/chewy-user/login-actions/reset-credentials?execution=a95992d3-17a9-4e3d-b092-766237e615be&client_id=storefront-web-u2s-client&tab_id=Amh9vLUbtCs
membership,https://www.chewy.com/app/membership?
mp-change-password,https://www.chewy.com/auth/realms/chewy-user/login-actions/required-action?execution=UPDATE_PASSWORD&client_id=healthcare-pet-insurance-member-portal-u2s-client&tab_id=zH7vH0h-GC8
opt-out-personal-information,https://www.chewy.com/app/content/opt-out-personal-information?utm_source=google&utm_medium=cpc&utm_campaign=187982379&utm_content=10442378979&gad_source=1&gad_campaignid=187982379&gbraid=0AAAAADmQ2V0n2Bzhm5aSxWLljZ8kR50K8&gclid=EAIaIQobChMIvZvtkOOJkQMV825_AB3bVwOaEAAYASAAEgKh6vD_BwE
about-us,https://www.chewy.com/app/content/about-us?utm_term=footer_sg&utm_medium=email&utm_source=triggered&utm_campaign=f543453e-1a37-41b3-b711-87d8c38f691f&utm_audience=Trigger-ABCart-T2&mi_u=953698340&mi_ecmp=Trigger-ABCart-T2&utm_content=282fc57d-091d-468b-b699-8bfe0663d2ed
mp-login-channels,https://www.chewy.com/auth/realms/chewy-user/login-actions/first-broker-login?execution=5395572d-dd6b-483b-87a7-122b3c983d94&client_id=healthcare-pet-insurance-member-portal-u2s-client&tab_id=5mCv_65ITRs
insurance,https://www.chewy.com/app/content/insurance?utm_source=google&utm_medium=cpc&utm_campaign=187982379&utm_content=10442378979&gad_source=1&gad_campaignid=187982379&gbraid=0AAAAADmQ2V2y909t77couk23u4Odtln3u&gclid=CjwKCAiAuIDJBhBoEiwAxhgyFtG4fE-27MxQ1KC1WCzoqxS5SVUOGRyVoVqpBz3GHt4-PzXDO7lP_RoCUigQAvD_BwE
ca-supply-chain-disclosure,https://www.chewy.com/app/content/ca-supply-chain-disclosure?fbclid=IwVERFWAOQPvdleHRuA2FlbQEwAGFkaWQBqywwZQN_2HNydGMGYXBwX2lkDzE3Mzg0NzY0MjY3MDM3MAABHtnLX_xwsy1kwRuS7nGU8HmXtTSnruY8FzxCOrQgQ_wB5ZLtoq1CKbZO4Eqi_aem_Axa4ANMIlrMtK2rcjLvDcw
about,https://www.chewy.com/app/content/about?utm_source=google&utm_medium=cpc&utm_campaign=187982379&utm_content=10442378979&gad_source=5&gad_campaignid=187982379&gclid=EAIaIQobChMI4s_ygtqDkQMVQ11_AB3gLR6FEAAYASAAEgJxRPD_BwE
plp,www.chewy.com/b/western-saddle-pads-11447
cwav,https://www.chewy.com/pethealth/connect-with-a-vet/virtual-visit?utm_source=google&utm_medium=cpc&utm_campaign=23152983784&utm_content=186626620546&gad_source=5&gad_campaignid=23152983784&gclid=EAIaIQobChMIuaq1lcKDkQMV7ERHAR2obBLSEAAYASAAEgJX9_D_BwE
reviews-q-a-terms,https://www.chewy.com/app/content/reviews-q-a-terms?ajs_aid=f863c09e-1a14-4d99-85d6-8d1845bed904
pet_insurance,https://www.chewy.com/pet-insurance/youngpet?utm_source=google&utm_medium=cpc&utm_campaign=101262699&utm_content=4259482779&gad_source=1&gad_campaignid=101262699&gbraid=0AAAAADmQ2V1bBa-S3bTyLxXoXNV2vf12e&gclid=CjwKCAiAlfvIBhA6EiwAcErpyddl1QVcWhIOxWJo0aXtGvkDstPbf7crKqqEzUS9PjBGpxpFAhNz7xoCQT8QAvD_BwE
create-account-channels,https://www.chewy.com/auth/realms/chewy-user/login-actions/registration?execution=0c70d3ce-c950-41d1-98b7-e6a803f78986&client_id=storefront-web-u2s-client&tab_id=zzwIvci-MT4
passwordless-registration-otp,https://www.chewy.com/auth/realms/chewy-user/login-actions/registration?execution=9c5b8558-ca29-45e9-bf8d-0a5e03bc83fc&client_id=storefront-web-u2s-client&tab_id=zzwIvci-MT4
terms,https://www.chewy.com/app/content/terms?utm_term=footer_&utm_medium=email&utm_source=transactional&utm_campaign=ff11acac-f55f-4e52-8c7d-114f080138d7&utm_audience=TXN_RX_VD_ORDER_CREATED_EMAIL_V1&mi_u=55588746&mi_ecmp=TXN_RX_VD_ORDER_CREATED_EMAIL_V1&utm_content=180fcb2f-2253-45e0-b583-babf48578cb2
membership-terms,https://www.chewy.com/app/content/membership-terms?utm_term=&utm_medium=email&utm_source=transactional&utm_campaign=f8f94d0c-4e37-4896-952d-02a9ec10c7b4&utm_audience=TXN_LOYALTY_MEMBER_REJOINS_EMAIL_V1&mi_u=908905921&mi_ecmp=TXN_LOYALTY_MEMBER_REJOINS_EMAIL_V1&utm_content=f1657721-a942-4ca8-8a2d-cf06b495a73b
giveaway-sweepstakes-rules,https://www.chewy.com/app/content/giveaway-sweepstakes-rules?fbclid=IwY2xjawONc8BleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7X2B1jieHzSbjOcgd29Xx8M3FdMXLEJD6usrd3B9Q3oQhNENWNBKE2Qu79mQ_aem_2-DM_i6DcKwOCr_5incw4A
subscription,https://www.chewy.com/app/subs/manager/view/y12078292
pet-health,https://www.chewy.com/pethealth?ref-query=pet+portal&ref=searchRedirect&nav-submit-button=
change-password,https://www.chewy.com/auth/realms/chewy-user/login-actions/required-action?execution=UPDATE_PASSWORD&client_id=storefront-web-u2s-client&tab_id=zzh4QK0DoVs
scott-anderson,https://www.chewy.com/app/content/scott-anderson
,https://www.chewyhealth.com/s?query=Reconcile&nav-submit-button=
mp-login-otp,https://www.chewy.com/auth/realms/chewy-user/login-actions/first-broker-login?execution=5395572d-dd6b-483b-87a7-122b3c983d94&client_id=healthcare-pet-insurance-member-portal-u2s-client&tab_id=jpqYdEiNtqE
promotional-offers-terms,https://www.chewy.com/app/content/promotional-offers-terms?utm_terms=promoterms&lid=p68bcv8shebt&utm_medium=email&utm_source=triggered&utm_campaign=5054f57d-8a1b-41be-9f8c-33f8e763b55d&utm_audience=Winback-2ndDMTouch-PiggyBack&mi_u=69989002&mi_ecmp=Winback-2ndDMTouch-PiggyBack&utm_content=565203c8-bab2-44a6-9fdb-3540853180de
mp-login-username,https://www.chewy.com/auth/realms/chewy-user/protocol/openid-connect/auth?response_type=code&client_id=healthcare-pet-insurance-member-portal-u2s-client&state=12345&scope=openid&redirect_uri=https://chewyinsurance.trupanion.com/login
contact,https://www.chewy.com/app/content/contact?utm_term=footer_cs&utm_medium=email&utm_source=triggered&utm_campaign=f543453e-1a37-41b3-b711-87d8c38f691f&utm_audience=Trigger-ABCart-T2&mi_u=92794674&mi_ecmp=Trigger-ABCart-T2&utm_content=282fc57d-091d-468b-b699-8bfe0663d2ed
faq,https://www.chewy.com/app/content/faq?utm_term=footer_hfr&utm_medium=email&utm_source=triggered&utm_campaign=f543453e-1a37-41b3-b711-87d8c38f691f&utm_audience=Trigger-ABCart-T2&mi_u=32133941&mi_ecmp=Trigger-ABCart-T2&utm_content=282fc57d-091d-468b-b699-8bfe0663d2ed#returns
pet_profile,https://www.chewy.com/pets/new/celebration-type
passwordless-otp,https://www.chewy.com/auth/realms/chewy-user/login-actions/registration?execution=526974f8-7af5-41a8-a690-c721d972c23b&client_id=storefront-web-u2s-client&tab_id=rZxwl04Lv_Y
login-otp-channel,https://www.chewy.com/auth/realms/chewy-user/login-actions/authenticate?execution=768b815e-5b2b-42c0-bcbc-afcccfb23f56&client_id=storefront-web-u2s-client&tab_id=zxS95n953FM
ugc,https://www.chewy.com/app/write-review?id=894774&campaignId=PDP
thank-you-page,https://www.chewy.com/app/checkout/thankyou?orderId=8719150689&orderType=S
connect_with_a_vet,https://www.chewy.com/pethealth/connect-with-a-vet/unavailable
pet-insurance,https://www.chewy.com/zesty-paws-allergy-immune-bites-lamb/dp/1781542
sumit-singh,https://www.chewy.com/sumit-singh
heather-smedstad,https://www.chewy.com/app/content/heather-smedstad?utm_source=google&utm_medium=cpc&utm_campaign=18283612488&utm_content=140691789043&gad_source=1&gad_campaignid=18283612488&gbraid=0AAAAADmQ2V3yn6EI1cFZQEH7vjTeH2xrC&gclid=CjwKCAiAlfvIBhA6EiwAcErpybtP7jK7XpoSZ5KXMmbuQh8CGURDrOClrc5lbYmZlj0y6QdL0Zy2nhoCXBgQAvD_BwE
get-real,https://www.chewy.com/zupreem-fruitblend-flavor-natural/dp/128384
affiliate,https://www.chewy.com/app/content/affiliate?utm_source=google&utm_medium=cpc&utm_campaign=187982379&utm_content=10442378979&gad_source=1&gad_campaignid=187982379&gbraid=0AAAAADmQ2V3cMgrJCr3UB0u-FDddqG56j&gclid=Cj0KCQiAoZDJBhC0ARIsAERP-F9EcToBOea6qCu72MlWil8hDjePC3Wwnet7zfH_NVCHoUDRyKlEM0saAqC_EALw_wcB
auth-error,https://www.chewy.com/auth/realms/chewy-user/protocol/openid-conuth?response_type=code&client_id=storefront-web-u2s-client&scope=openid%20user%20b2b&state=5kJk-AcebmAdaNXtGauQN6R-Chn0dzVGxnrnR01QGss%3D&redirect_uri=https://www.chewy.com/api/login/v1/codetotoken&nonce=51ZUPsogy4ubzruPC3aeZXHcDySFHrLcGCrQ01MQLFI&pid=uz9bBJq-S0u6GkzaMIpLww&code_challenge_method=S256&code_challenge=zCdtOeW2blubNipK7IXFty1CmJz4SbskWfuC39OcbhI&shelters=false
cart,https://www.chewy.com/app/checkout
thank-you,https://www.chewy.com/zymox-otic-dog-cat-ear-infection/dp/54787
account,https://www.chewy.com/zymox-veterinary-strength-enzymatic/dp/143350
login,https://www.chewy.com/app/resetpassword
